text_original,text_traducido
pésima atención al cliente llega pedido incompleto nadie se hace responsable abusan de sus clientes ,"Lounting customer service arrives incomplete request, no one is responsible for their customers"
asi como me cobran un fee cada que cancelo una carrera deberian de hacerme un descuento cada que uno de sus condu tores me cancela al momento me han cancelado conductores,"Just as a Fee charges every time I cancel a career, they should make me a discount every one of his conducts canceled at the time I have canceled drivers"
sigo esperando respuesta de de por el viaje se me facturo sin haber tomado el auto de ese chófer sinverguenza nadie llama ni dicen nada su servicio al cliente es pesimo esto hace dudar de su jodida seriedad,"I still expect a response from the trip, I have a lot without having taken the car of that chauffeur Sinveguenza Nobody calls or say anything to the customer is pestimo This makes doubt about his fucking seriousness"
qué es cómo trabajar de ,What is how to work on
lol honestly winning voting contests is what voting contests mean my man hasn scored or assisted against real since cadiz huesca elche valladolid vallecano mallorca betis granada celta osasuna bolivia ecuador that of his career now uber eats goal votes sure,Lol honestly winning voting answers is what voteing answers mean my man has scored or assisted agast real since Cadiz Huesca Elche Valladolid Vallecano Mallorca Betis Granada Celta Osasuna Bolivia Ecuador That of His Career Now Uber Eats GOAL VOTES SOUTH
con ese salvoconducto se debe regresar ecuador desde donde estén no les dejarán subirse en aviones así sea en la zona schengen ,"With that safe -conduct, Ecuador must be returned from where they are not letting them get on airplanes so in the Schengen area"
hasta cuando tenemos que soportar perder el tiempo con los conductores de uber se está convirtiendo en un karma utilizar sus servicios minutos esperando al conductor cancela ,"Until when we have to endure wasting time with Uber drivers, he is becoming a karma to use his services minutes waiting for the Cancela driver"
nuevamente cobrando dos veces el mismo viaje hasta cuánto será que algún momento me reembolsan ,Again charging the same trip to how much it will be that some moment reimburse me
como puedo reportar un conductor que se le pago el viaje no me puso el cobro en la aplicación adjunto detalles del conductor que incluso no me dió ni el vuelto ,How can I report a driver who pays him the trip did not charge me in the application attached driver details that did not even give me the return
como odio uber ecuador hpta,How I hate Uber Ecuador Hpta
en eso estoy porque se pasó de hpta ni leer el gps sabía,I am because he went from Hpta or read the GPS knew
siento que mi me estafó estoy más que segura que puse el destino correcto las carreras están demasiado económicas sumándole uber pass son un regalo ,I feel that I cheated me I am more than sure that I put the correct destination the races are too economical by adding Uber Pass are a gift
hola hoy tome un uber las y costo de dolares llegue mi destino en aprox min luego las h me llega notificación que se anulo ese valor me cobraron el conductor no cerró lo carrera al yo bajarme ,Hello today I took an uber the and cost of dollars arrive my destiny in approx min then the h comes notification that annulled that value they charged me the driver did not close the career when I got off
